,Hybrid,Utility_only,Uncertainty_only
0,0.473535072,0.506095216,0.473535072
1,0.55159427,0.566280011,0.541921596
2,0.607768855,0.634398119,0.569636867
3,0.662672311,0.685421883,0.6010755
4,0.691345365,0.710269614,0.622992869
5,0.717261969,0.730655207,0.646722629
6,0.730092455,0.754357438,0.663918446
7,0.758788601,0.769802795,0.68432746
8,0.770928949,0.782263065,0.701304722
9,0.790782989,0.792989668,0.718684955
10,0.802488867,0.802742353,0.727729774
11,0.812946699,0.810744208,0.742647387
12,0.824677929,0.820015374,0.752345645
13,0.832758549,0.828719949,0.759296837
14,0.838206162,0.834536724,0.76614055
15,0.843500096,0.837273444,0.774736823
16,0.847743044,0.843665264,0.777546527
17,0.850858369,0.847290393,0.778883266
18,0.853523871,0.851123477,0.780637889
19,0.860664944,0.858030035,0.781671695
