Hybrid,Uncertainty,Utility
0.557925679,0.557925679,0.54103354
0.57162885,0.585681002,0.560551417
0.597992196,0.607394966,0.589711525
0.607678349,0.62516355,0.619224939
0.628133119,0.63821418,0.651729293
0.652989816,0.648277862,0.673772215
0.665604746,0.659946317,0.692846431
0.692344364,0.670744392,0.713011035
0.7010101,0.683606594,0.730924747
0.721435355,0.696227738,0.744958704
0.729738965,0.708167352,0.758910958
0.745558748,0.723418516,0.771960647
0.754580542,0.73476198,0.783385939
0.76976102,0.744328839,0.793253463
0.778437294,0.751530987,0.805735133
0.793207138,0.75850514,0.81496162
0.800349611,0.763795057,0.822765583
0.810109925,0.767766358,0.82869646
0.81617273,0.771707466,0.834643857
0.824955255,0.775621635,0.840297588
